TweetID,TweetTime,TweetText,TweetLang,TimeZone,FollowerCount
979581695266467840,2018-03-30 04:50:50.367000000,    Saw Pacific Rim uprising today  Loved it   Hoping for a third,en,None,217
979581795380248576,2018-03-30 04:51:14.267000000,PACIFIC RIM 2 WAS SO GOOD  not as good as the first film but i love mako mori so that s why i can t love uprising as much as i want to,en,Pacific Time (US & Canada),32
979581834219737089,2018-03-30 04:51:23.410000000,Black panther pacific rim 2 and ready player one  all super good movies   ,en,None,127
979582244070203392,2018-03-30 04:53:01.150000000,  ohh   I LOVE PACIFIC RIM  I haven t watched it yet but the reviews are   well  I feel disappointed already   ,en,Beijing,227
979582521120784384,2018-03-30 04:54:07.413000000,there s a piece of instrumental music I can t place that was in both Pacific Rim 2 and Love Simon and I keep thinking about it and laughing,en,Pacific Time (US & Canada),383
979582585117425664,2018-03-30 04:54:22.563000000,Sum1 watch pacific rim 2 with me    ,en,Singapore,598
979582643988709376,2018-03-30 04:54:36.547000000,In Short  Movie of the Year   ,en,None,178
979582659830493185,2018-03-30 04:54:40.293000000,   Neill  Just saw Pacific Rim Uprising  what a ride    PacificRimUprising,en,None,2102
979582989116915712,2018-03-30 04:55:58.717000000,  Hmmm    not a ringing enforcement   But I will say that I saw Pacific Rim  Uprising  I enjoyed its  M   ,en,None,119
979583039209549824,2018-03-30 04:56:10.540000000,psa i am always free to discuss pacific rim if you want to slide in my dms and rant with me,en,Pacific Time (US & Canada),32
979583137960218625,2018-03-30 04:56:34.067000000,I ll check out Ready Player One tomorrow  Reviews for it are better than Pacific Rim 2 ,en,Pacific Time (US & Canada),374
979583247284875270,2018-03-30 04:57:00.247000000,I hated Pacific Rim  Uprising so much  It s a soulless sequel that lacks all of the love and joy the original Pacif   ,en,Pacific Time (US & Canada),76
979583253261807616,2018-03-30 04:57:01.757000000,I liked a   video   LEGO Pacific Rim Uprising Kaiju Jaeger Hybrid,en,None,4
979583284777660416,2018-03-30 04:57:10.803000000,1 word to describe Pacific rim 2  Fun  ,en,Pacific Time (US & Canada),1168
979583935993622528,2018-03-30 04:59:44.483000000,So I enjoyed pacific rim,en,Pacific Time (US & Canada),407
979583999474577408,2018-03-30 04:59:59.620000000,Movies  Film  and Chili  Pacific Rim  Uprising  2018   ,en,None,370
979584124766904320,2018-03-30 05:00:29.950000000,The War Awakens John Boyega in  Pacific Rim Uprising     ,en,Hong Kong,1298
979584308770783232,2018-03-30 05:01:13.433000000,Are there any pacific rim   pops  Cause I ll buy the Mako Mori one right now  I need that shit ,en,Pacific Time (US & Canada),72
979584654356475905,2018-03-30 05:02:35.607000000,Pacific rim 2 was live,en,None,1291
979585005130321921,2018-03-30 05:03:59.460000000,   26  Some SHIELD x Pacific Rim AU for yesterday s prompt  as I m a shameless SHIELD fan  rekindled by     https  ,en,Eastern Time (US & Canada),310
979585479787143168,2018-03-30 05:05:52.540000000,    I liked a   video   Pacific Rim Uprising Movie Review Hit Or Miss Sequel ,en,None,794
979585585428840448,2018-03-30 05:06:17.980000000,    This is a review of PACIFIC RIM UPRISING  a film in which giant robots fight giant monsters     ,en,None,103
979585642454687744,2018-03-30 05:06:31.293000000,Reviews for Ready Player One and Pacific Rim 2 seem bad so far but I still need to watch them so I m staring at the   ,en,Kuala Lumpur,564
979586021292691458,2018-03-30 05:08:01.800000000,    it s weird that Guillermo del Toro s fish banging movie isn t the one he called Pacific Rim,en,Eastern Time (US & Canada),684
979586170563809280,2018-03-30 05:08:37.213000000,Pacific Rim  Uprising   Time      watching Pacific Rim   Uprising at Qingdao Wanda International Cinema  ,en,None,8255
979586228109660160,2018-03-30 05:08:50.993000000,    Before   and Pacific Rim uprising there was ROBOT WARS  Subscribe  Buy  Or Rent    http ,en,None,85
979586290399117312,2018-03-30 05:09:05.897000000,I like the part in Pacific Rim 2 where the kaiju runs up the mountain screaming the whole way,en,Pacific Time (US & Canada),931
979586355725418496,2018-03-30 05:09:21.387000000,Also everyone in Pacific Rim 2 was either hot or adorable,en,Pacific Time (US & Canada),931
979586847448825856,2018-03-30 05:11:18.720000000,Pacific Rim 2 also had good OT3 polyamory material    ,en,Pacific Time (US & Canada),931
979586924045205504,2018-03-30 05:11:36.880000000,ready player one ka pacific rim hmmm,en,None,57
979586935319683072,2018-03-30 05:11:39.620000000,   oshea  THIS IS NOT A DRILL  OMG   ,en,Central Time (US & Canada),881
979586958102966272,2018-03-30 05:11:44.997000000,Pacific Rim Uprising was cool and all  but there still was not giant robot suplex  Two movies now  This mistake bet   ,en,None,38
979587196989698048,2018-03-30 05:12:42.003000000,  It s actually pronounced Pacific Rim,en,None,1785
979587214282756096,2018-03-30 05:12:46.063000000,i spoiled myself of pacific rim uprising  amp  i wonder now if its better if i dont watch it,en,Jakarta,581
979587256850702336,2018-03-30 05:12:56.383000000,    Pacific Rim 2 also had good OT3 polyamory material    ,en,None,2955
979587293047484417,2018-03-30 05:13:05.510000000,    Pacific Rim or Ready Player One ,en,Kuala Lumpur,120
979587557712306176,2018-03-30 05:14:07.927000000,Ready Player One is Pacific Rim with a Spielberg heart ,en,Central Time (US & Canada),83
979587597981888512,2018-03-30 05:14:17.537000000,I wanna like Pacific Rim Uprising because i really liked the first one but eeeeeeh i don t know I could ve made a better movie tbh       ,en,Central Time (US & Canada),357
979587623617363974,2018-03-30 05:14:23.733000000,  Pacific rim 2 was ok i feel ,en,Kuala Lumpur,160
979587782044733440,2018-03-30 05:15:01.427000000,    it s weird that Guillermo del Toro s fish banging movie isn t the one he called Pacific Rim,en,None,4
979587842618753025,2018-03-30 05:15:16.063000000,I went to see pacific rim and it was really good  ,en,Pacific Time (US & Canada),42
979588166272331778,2018-03-30 05:16:33.147000000,    it s weird that Guillermo del Toro s fish banging movie isn t the one he called Pacific Rim,en,Central Time (US & Canada),168
979588305841991680,2018-03-30 05:17:07.180000000,Still need to see Tomb Raider  amp  Pacific Rim ,en,None,181
979588480991862784,2018-03-30 05:17:48.177000000,Pacific Rim uprising felt like fast and furious replacing the car and heist with robots and saving the world,en,Kuala Lumpur,103
979588498914140160,2018-03-30 05:17:52.620000000,Watching Pacific Rim  Uprising  at       ,en,None,1343
979588540995481600,2018-03-30 05:18:02.357000000,Well Pacific Rim Uprising was interesting  Fun moments and definitely lighter in tone from part one,en,Pacific Time (US & Canada),379
979588563036643328,2018-03-30 05:18:07.697000000,PACIFIC RIM 2 WAS GREAT 10 10 WOULD RECOMMEND I LOVE GIANT ROBOTS AND MONSTERS,en,Pacific Time (US & Canada),221
979588705970143232,2018-03-30 05:18:41.767000000,To pacific rim or to not pacific rim  ,en,Pacific Time (US & Canada),107
979588706376892416,2018-03-30 05:18:42.163000000,It is just a reboot from the first one  nothing new with the Jaeger  i think this movie wants to refresh audience s   ,en,Kuala Lumpur,403
979588765936115714,2018-03-30 05:18:57.313000000, deskbot  braveseries  pacificrimuprising  sobufi  transformers  nopaintrequired   There s just something fun about   ,en,America/Los_Angeles,52
979588854142222338,2018-03-30 05:19:17.310000000,Ready Player One Pacific Rim Uprising  I Can Only Imagine   The movies I NEED to see this weekend ,en,Pacific Time (US & Canada),297
979588877030637568,2018-03-30 05:19:22.593000000,    pacific rim  uprising spoiler but I give you no context  ,en,Pacific Time (US & Canada),1687
979589149693898754,2018-03-30 05:20:27.557000000,  the cute lil mamas that I follow let s go see pacific rim uprising please  ,en,None,367
979590104703520768,2018-03-30 05:24:16.890000000,   Stuckmann      I wish it was that simple  Jeremy Jahns reviewed Pacific Rim 2 without using a single seco ,en,Europe/Copenhagen,41
979590218624925696,2018-03-30 05:24:42.393000000,Pacific Rim Uprising  It s fun ,en,None,100
979590236307992576,2018-03-30 05:24:46.710000000,SCR E A MS now i really need to watch pacrim 2      ,en,None,68
979590423546028033,2018-03-30 05:25:31.310000000,Pacific rim was ight,en,None,252
979590468072648704,2018-03-30 05:25:41.867000000,good afternoon       heading out to watch Pacific Rim  Uprising with     17 and    today     ,en,Kuala Lumpur,1913
979590494995927040,2018-03-30 05:25:48.223000000,I liked it  It s an endorsement   ,en,Atlantic Time (Canada),29552
979590564965306368,2018-03-30 05:26:04.897000000,Really enjoyed Pacific Rim Uprising,en,None,25
979590850291396608,2018-03-30 05:27:13.030000000, Pacific Rim Uprising  is a total let down   University of Virginia The Cavalier Daily  ,en,Quito,1618
979591069770788864,2018-03-30 05:28:05.373000000,  You know  I wouldn t mind seeing a tokusatsu version of Pacific Rim where all the Jaegers and kaiju   ,en,None,58
979591139782098944,2018-03-30 05:28:21.957000000,okay so i m not watching pacific rim or tomb raider today im watching ready player one instead yay time to see mendo back in action,en,Singapore,4892
979591429247913984,2018-03-30 05:29:31.053000000,I just saw pacific rim uprising and im feeling every possible emotion rn     ,en,None,54
979591621044985856,2018-03-30 05:30:16.807000000,Y all saw my boy Ravi in the new Pacific Rim movie  He out here fighting  Mrs  Kipling  lookin ass monsters   ,en,None,41
979591832396058624,2018-03-30 05:31:07.110000000, amp  039 Pacific Rim Uprising amp  039   How Toys And Motion Capture Helped Bring Giant Robots To Life   Cartoon Brew  ,en,None,1572
979591941842141186,2018-03-30 05:31:33.177000000,Good Morning  enjoyed watching Westworld all night and looking forward to see Pacific Rim  Uprising this evening   ,en,Bern,451
979591977967734790,2018-03-30 05:31:41.697000000,    The Robots in  Pacific Rim Uprising  Could Use a Lesson from Real Life Science    ,en,Mexico City,436
979592415781650433,2018-03-30 05:33:26.147000000,if i get a chance to date myself tomorrow  i ll go watch pacific rim uprising  amp  when i get home  i m going to spoil   ,en,Hawaii,3792
